:START_ID(Document),:END_ID(Location),:TYPE
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-03-28,SC4D,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-04-15",Box,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-04-15",Illinois,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-04-15",Inclusion,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-03-24",Teams,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Notes",Lauren,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Notes",Rm,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-10-20",LibNews,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA_TF_Year_1_Baseline_Survey_Report_Final_October-8",Illinois,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-30",MS,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-11-02",Growing People,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-07-08",TF,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-07-08",Teams,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-11-17",Lauren,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Agenda-Feb-10-2022",Mara,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Agenda-Feb-10-2022",Us,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Agenda-Feb-10-2022",n’t,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07",Berkeley,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07",Lucretia,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07",Minnesota,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07",U Mich,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07",UC,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-07-21",Box,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-11-04",Accolade,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-11-04",Erik,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-11-04",Lauren,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-15",Francisco,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-15",Lauren,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-15",MS,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-02",Teams,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-02",’s,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-09-08",TF,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-09-07",Preservation,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-06-21",Lauren,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-06-21",Thurs,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-08-05",Slyvia,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-08-05",TF,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-03-10",US,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-19",US,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-19",Us,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-19_1",US,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-19_1",Us,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07_1",Berkeley,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07_1",Lucretia,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07_1",Minnesota,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07_1",U Mich,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07_1",UC,MENTIONS
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-05-22",Lauren,MENTIONS
Library Faculty Meeting__Related Documents__Faculty Meeting Discussion Questions Feb 11 2015,Bylaws,MENTIONS
Library Faculty Meeting__Related Documents__Faculty-Meeting-Accreditation (1),USA,MENTIONS
Library Faculty Meeting__Related Documents__Faculty-Meeting-Accreditation (1),the United States,MENTIONS
Library Faculty Meeting__Related Documents__Leveraging-library-data-for-student-success,Michigan,MENTIONS
Library Faculty Meeting__Related Documents__Leveraging-library-data-for-student-success,Modeling,MENTIONS
Library Faculty Meeting__Related Documents__Patron-Privacy-in-the-LibraryRev,Connecticut,MENTIONS
Library Faculty Meeting__Related Documents__Patron-Privacy-in-the-LibraryRev,Griswold,MENTIONS
Library Faculty Meeting__Related Documents__Patron-Privacy-in-the-LibraryRev,I.D.,MENTIONS
Library Faculty Meeting__Related Documents__Patron-Privacy-in-the-LibraryRev,Illinois,MENTIONS
Library Faculty Meeting__Related Documents__Patron-Privacy-in-the-LibraryRev,Illinois State,MENTIONS
Library Faculty Meeting__Related Documents__IDHH-presentation-faculty-meeting-2019-12,Libraries,MENTIONS
Library Faculty Meeting__Related Documents__IDHH-presentation-faculty-meeting-2019-12 (1),Libraries,MENTIONS
Library Faculty Meeting__Related Documents__Spring-2020-UIUC-Library-Presentation,California,MENTIONS
Library Faculty Meeting__Related Documents__Spring-2020-UIUC-Library-Presentation,Illinois,MENTIONS
Library Faculty Meeting__Related Documents__Spring-2020-UIUC-Library-Presentation,RSS,MENTIONS
Library Faculty Meeting__Related Documents__Spring-2020-UIUC-Library-Presentation,U.S.,MENTIONS
Library Faculty Meeting__Related Documents__bento_rev-1_mischo_norman,Bento,MENTIONS
Library Faculty Meeting__Related Documents__bento_rev-1_mischo_norman,Hemenway,MENTIONS
Library Faculty Meeting__Related Documents__bento_rev-1_mischo_norman,Radiat,MENTIONS
Library Faculty Meeting__Related Documents__bento_rev-1_mischo_norman,Spelling,MENTIONS
Library Faculty Meeting__Related Documents__Faculty-Meeting-Accreditation,USA,MENTIONS
Library Faculty Meeting__Related Documents__Faculty-Meeting-Accreditation,the United States,MENTIONS
Library Faculty Meeting__Related Documents__Summary of the Academic Professional Investigation Time Survey,NetIDs,MENTIONS
Library Faculty Meeting__Related Documents__PTTPWG_2020-04-07,Illinois,MENTIONS
Library Faculty Meeting__Related Documents__12.06.2017_Digital_Collections_Update_Rimkus,http://iiif.io/,MENTIONS
"Library Faculty Meeting__Related Documents__March 6, 2019 Meeting of Library Faculty Meeting – Staff Website – U of I Library",Chicago,MENTIONS
"Library Faculty Meeting__Related Documents__March 6, 2019 Meeting of Library Faculty Meeting – Staff Website – U of I Library",Illinois,MENTIONS
"Library Faculty Meeting__Related Documents__March 6, 2019 Meeting of Library Faculty Meeting – Staff Website – U of I Library",Indiana,MENTIONS
"Library Faculty Meeting__Related Documents__March 6, 2019 Meeting of Library Faculty Meeting – Staff Website – U of I Library",New Business,MENTIONS
"Library Faculty Meeting__Related Documents__March 6, 2019 Meeting of Library Faculty Meeting – Staff Website – U of I Library",Urbana,MENTIONS
"Library Faculty Meeting__Related Documents__March 6, 2019 Meeting of Library Faculty Meeting – Staff Website – U of I Library",VR,MENTIONS
Library Faculty Meeting__Related Documents__12.06.2017_NACO_Ream-Sotomayor,MPAL,MENTIONS
Library Faculty Meeting__Related Documents__Collaborative-Buying-to-India-1,India,MENTIONS
Library Faculty Meeting__Related Documents__2012-10-17_International_Energy_Research_Group,Fukuoka,MENTIONS
Library Faculty Meeting__Related Documents__2012-10-17_International_Energy_Research_Group,Japan,MENTIONS
Library Faculty Meeting__Minutes__Library Faculty Meeting_Minutes_2014-04-16,Chicago,MENTIONS
