:START_ID(Document),:END_ID(Committee),:TYPE
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Minutes-October-19","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Notes","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-10-20","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA_TF_Year_1_Baseline_Survey_Report_Final_October-8","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-30","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-05-19","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-11-02","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-07-08","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-11-17","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-04-21","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Minutes-April-7","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
